model,accuracy,balanced_accuracy,macro_f1,weighted_f1,auc,benign_precision,benign_recall,benign_f1,malignant_precision,malignant_recall,malignant_f1,normal_precision,normal_recall,normal_f1
openai_clip_vit_b16,0.5789473684210527,0.3949966193373901,0.3581932773109244,0.4750221141088014,0.7177082693056325,0.5617977528089888,0.9803921568627452,0.7142857142857143,0.8,0.1379310344827586,0.2352941176470588,1.0,0.0666666666666666,0.125
biomedclip_vit_b16,0.4631578947368421,0.5362181654270904,0.4390898229607907,0.4050340416045,0.8045003790439896,1.0,0.1764705882352941,0.3,0.4,0.9655172413793104,0.5656565656565656,0.4375,0.4666666666666667,0.4516129032258064
unimedclip,0.3263157894736842,0.41978814514311474,0.3305982905982906,0.33791093117408905,0.6157000020488863,0.7857142857142857,0.21568627450980393,0.3384615384615385,0.42857142857142855,0.3103448275862069,0.36,0.18333333333333332,0.7333333333333333,0.29333333333333333
