accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,auc,benign_precision,benign_recall,benign_f1,malignant_precision,malignant_recall,malignant_f1,normal_precision,normal_recall,normal_f1,run_id,model,experiment,train_ratio,train_ratio_percent,shots_per_class,seed,n_train_samples,best_c,best_val_score,best_val_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1,test_auc,k
0.28421052631578947,0.37958079783637594,0.26713007932653393,0.28226176478106385,0.5888888888888889,0.37958079783637594,0.6262184215378941,0.6,0.23529411764705882,0.3380281690140845,1.0,0.10344827586206896,0.1875,0.16666666666666666,0.8,0.27586206896551724,openai_clip_vit_b16__linear_probe__shots1__seed1,openai_clip_vit_b16,fewshot_linear_probe,,,1,1,3,1000.0,0.3106060606060606,0.3106060606060606,0.28421052631578947,0.37958079783637594,0.26713007932653393,0.28226176478106385,0.6262184215378941,1
0.4631578947368421,0.3982871309443317,0.3941554364101821,0.4484033587809547,0.44035087719298244,0.3982871309443317,0.5201941832114246,0.5,0.5098039215686274,0.5048543689320388,0.42105263157894735,0.5517241379310345,0.47761194029850745,0.4,0.13333333333333333,0.2,openai_clip_vit_b16__linear_probe__shots1__seed2,openai_clip_vit_b16,fewshot_linear_probe,,,1,2,3,0.1,0.3912037037037037,0.3912037037037037,0.4631578947368421,0.3982871309443317,0.3941554364101821,0.4484033587809547,0.5201941832114246,1
0.23157894736842105,0.3403200360604011,0.22843315184513005,0.20184035406119655,0.3412698412698412,0.3403200360604011,0.6065121294076669,0.5714285714285714,0.0784313725490196,0.13793103448275862,0.2857142857142857,0.27586206896551724,0.2807017543859649,0.16666666666666666,0.6666666666666666,0.26666666666666666,openai_clip_vit_b16__linear_probe__shots1__seed3,openai_clip_vit_b16,fewshot_linear_probe,,,1,3,3,10.0,0.3077449370552819,0.3077449370552819,0.23157894736842105,0.3403200360604011,0.22843315184513005,0.20184035406119655,0.6065121294076669,1
0.4842105263157895,0.32129817444219066,0.2756729610285255,0.3925104142437251,0.296969696969697,0.32129817444219066,0.5257877968324216,0.55,0.8627450980392157,0.6717557251908397,0.09090909090909091,0.034482758620689655,0.05,0.25,0.06666666666666667,0.10526315789473684,openai_clip_vit_b16__linear_probe__shots1__seed4,openai_clip_vit_b16,fewshot_linear_probe,,,1,4,3,1.0,0.34743589743589737,0.34743589743589737,0.4842105263157895,0.32129817444219066,0.2756729610285255,0.3925104142437251,0.5257877968324216,1
0.5263157894736842,0.48789722785665995,0.46133420631456423,0.5134105998299984,0.48666666666666664,0.48789722785665995,0.5714353473886943,0.6666666666666666,0.47058823529411764,0.5517241379310345,0.46,0.7931034482758621,0.5822784810126582,0.3333333333333333,0.2,0.25,openai_clip_vit_b16__linear_probe__shots1__seed5,openai_clip_vit_b16,fewshot_linear_probe,,,1,5,3,1000.0,0.3395080786250901,0.3395080786250901,0.5263157894736842,0.48789722785665995,0.46133420631456423,0.5134105998299984,0.5714353473886943,1
0.49473684210526314,0.4360153256704981,0.4332216540292717,0.4849641295974904,0.4329365079365079,0.4360153256704981,0.6205341959145204,0.6071428571428571,0.6666666666666666,0.6355140186915887,0.2916666666666667,0.2413793103448276,0.2641509433962264,0.4,0.4,0.4,openai_clip_vit_b16__linear_probe__shots1__seed6,openai_clip_vit_b16,fewshot_linear_probe,,,1,6,3,1.0,0.3955113077679449,0.3955113077679449,0.49473684210526314,0.4360153256704981,0.4332216540292717,0.4849641295974904,0.6205341959145204,1
0.4842105263157895,0.5888663511381563,0.48897173035104075,0.48187570510619515,0.5280615506200389,0.5888663511381563,0.7358492122031676,0.6956521739130435,0.3137254901960784,0.43243243243243246,0.5862068965517241,0.5862068965517241,0.5862068965517241,0.3023255813953488,0.8666666666666667,0.4482758620689655,openai_clip_vit_b16__linear_probe__shots1__seed7,openai_clip_vit_b16,fewshot_linear_probe,,,1,7,3,0.1,0.4569665635722968,0.4569665635722968,0.4842105263157895,0.5888663511381563,0.48897173035104075,0.48187570510619515,0.7358492122031676,1
0.4421052631578947,0.37773270227631284,0.3729135432283858,0.4195723191036061,0.38375350140056025,0.37773270227631284,0.559824154322126,0.5,0.6274509803921569,0.5565217391304348,0.29411764705882354,0.1724137931034483,0.21739130434782608,0.35714285714285715,0.3333333333333333,0.3448275862068966,openai_clip_vit_b16__linear_probe__shots1__seed8,openai_clip_vit_b16,fewshot_linear_probe,,,1,8,3,0.1,0.41312285597999887,0.41312285597999887,0.4421052631578947,0.37773270227631284,0.3729135432283858,0.4195723191036061,0.559824154322126,1
0.4105263157894737,0.5059725039441063,0.42203007314354074,0.37804148187582914,0.44357092941998605,0.5059725039441063,0.6050258671911816,0.5555555555555556,0.19607843137254902,0.2898550724637681,0.3584905660377358,0.6551724137931034,0.4634146341463415,0.4166666666666667,0.6666666666666666,0.5128205128205128,openai_clip_vit_b16__linear_probe__shots1__seed9,openai_clip_vit_b16,fewshot_linear_probe,,,1,9,3,1e-06,0.3917748917748918,0.3917748917748918,0.4105263157894737,0.5059725039441063,0.42203007314354074,0.37804148187582914,0.6050258671911816,1
0.35789473684210527,0.42379986477349557,0.2922970761617476,0.24387133326899785,0.38311688311688313,0.42379986477349557,0.5532067633741061,0.5,0.0392156862745098,0.07272727272727272,0.36363636363636365,0.9655172413793104,0.5283018867924528,0.2857142857142857,0.26666666666666666,0.27586206896551724,openai_clip_vit_b16__linear_probe__shots1__seed10,openai_clip_vit_b16,fewshot_linear_probe,,,1,10,3,0.1,0.19015873015873017,0.19015873015873017,0.35789473684210527,0.42379986477349557,0.2922970761617476,0.24387133326899785,0.5532067633741061,1
