model,experiment,k,seed,n_train_samples,best_epoch,best_val_macro_f1,test_accuracy,test_macro_f1,test_auc,trainable_params,total_clip_params,lora_rank,lora_alpha,lora_dropout,lora_layers,clip_lora_targets,biomed_lora_targets,head_lr,lora_lr,lr_min,accumulation_steps,use_eval_preprocess_for_train
openai_clip,fewshot_lora,2,1,6,44,0.5097141184097705,0.24210526315789474,0.24079224174796013,0.5292130227221504,1181187,150800385,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,2,2,6,3,0.37216117216117217,0.2736842105263158,0.24700854700854702,0.5175824676788167,1181187,150800385,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,2,3,6,9,0.2703670186023127,0.3684210526315789,0.3463590581189601,0.4931064703833467,1181187,150800385,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,2,4,6,42,0.4263322884012539,0.4105263157894737,0.3340367965367966,0.6740008605323008,1181187,150800385,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,2,5,6,8,0.3181471559581012,0.2631578947368421,0.24877027315407596,0.5231134365972094,1181187,150800385,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,2,6,6,4,0.45699276439686787,0.4421052631578947,0.2873015873015873,0.5488824861187944,1181187,150800385,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,2,7,6,44,0.474329282112301,0.5263157894736842,0.4856912921429051,0.7786391808552052,1181187,150800385,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,2,8,6,8,0.4187430938215773,0.4421052631578947,0.298132843587389,0.6135270555453111,1181187,150800385,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,2,9,6,18,0.4481913455037187,0.42105263157894735,0.42959770114942525,0.635416692277747,1181187,150800385,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,2,10,6,10,0.5054232804232804,0.43157894736842106,0.4178134422036861,0.6890217591738891,1181187,150800385,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
