k,best_epoch_mean,best_val_macro_f1_mean,best_val_macro_f1_std,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_auc_mean,test_auc_std
1,16.3,0.42166091899657887,0.0706376941566111,0.42105263157894735,0.08918080720799185,0.36293269746976115,0.07867104678886877,0.5910160069252361,0.07852403289197439
2,16.5,0.41274458334673464,0.07257666690101952,0.3957894736842105,0.09219460996443501,0.3449464385878528,0.09102420995201384,0.5999317311041449,0.09506598651953908
4,24.6,0.5617250403103394,0.04955185309981793,0.5357894736842106,0.09991686294807818,0.4968530051816238,0.08696089991359088,0.7324990011678654,0.05417677477345579
8,37.6,0.6250844270064319,0.06556863301391042,0.6147368421052631,0.050164395791330585,0.5940771516743097,0.06557629317194126,0.7916900547052677,0.05628291443750185
16,36.6,0.7223970284317722,0.04942027151486917,0.6989473684210527,0.06416353375810506,0.6853561009756561,0.06285262591519754,0.8511186254020939,0.03788359682599293
32,25.0,0.7829049240601819,0.03577075455473847,0.7326315789473684,0.03480588566354312,0.7260479061153892,0.03681182384639724,0.881603919519741,0.02292330860987767
