k,best_epoch_mean,best_val_macro_f1_mean,best_val_macro_f1_std,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_auc_mean,test_auc_std
1,27.8,0.3908262931878891,0.07059980412869721,0.3821052631578947,0.08581081785211796,0.3350231236512509,0.05058444299237018,0.5644163286004057,0.05528227119681396
2,23.2,0.4277557828314939,0.0832668152420448,0.37473684210526315,0.08126424869734226,0.34872694109300983,0.06448612941280409,0.5681017784334215,0.05352497353125669
4,41.1,0.5288629232885587,0.11792667060051992,0.5410526315789473,0.08246733779886366,0.49634812938647865,0.09045332823179938,0.7246053281291618,0.07307774902709661
8,38.0,0.48600031302904795,0.07932882800214537,0.4821052631578947,0.09038749045241957,0.44628919100408665,0.09556915577385444,0.6688378613723441,0.0923784590515334
16,33.0,0.5897215915333999,0.10405693239412173,0.5947368421052632,0.0671725955055321,0.56492922350292,0.07219548887189338,0.7868757965045997,0.07466799255179071
32,33.2,0.6695959468454438,0.09806470806013658,0.6378947368421053,0.12085669370140238,0.6289329832983949,0.12315828472912166,0.8295056498043314,0.0831941358882093
