k,best_epoch_mean,best_val_macro_f1_mean,best_val_macro_f1_std,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_auc_mean,test_auc_std
1,31.2,0.4740915556936637,0.09824369677371636,0.48,0.07988911983583273,0.4324399586300519,0.0795777176473849,0.6699313879156679,0.08871609345041492
2,31.5,0.5441237164517391,0.14724561792569119,0.523157894736842,0.1417517804172561,0.508640813946974,0.14146086987588175,0.7204996107115782,0.1330118537262961
4,38.6,0.6382453071598228,0.14316443464092568,0.6126315789473684,0.12851880087805068,0.596770227464606,0.14540204958817515,0.8027604390763621,0.09955367049208214
8,35.9,0.7145295908717886,0.046604042177268365,0.6757894736842105,0.038372556110855625,0.6680202113178275,0.03673382576784054,0.8490229526502346,0.02803508356474079
16,23.6,0.7616836356432009,0.02513446343404409,0.7284210526315789,0.05293479906146279,0.7288574131497411,0.05171742149540885,0.8785889831376646,0.029685374400291314
32,32.2,0.7885540356833749,0.024937333860800482,0.7463157894736842,0.03116690244379293,0.7508084426317573,0.03178383487075259,0.8965605804495256,0.015755282489493268
