model,experiment,k,seed,n_train_samples,best_epoch,best_val_macro_f1,test_accuracy,test_macro_f1,test_auc,trainable_params,total_clip_params,lora_rank,lora_alpha,lora_dropout,lora_layers,clip_lora_targets,biomed_lora_targets,head_lr,lora_lr,lr_min,accumulation_steps,use_eval_preprocess_for_train
biomedclip,fewshot_lora,4,3,12,46,0.7708333333333334,0.7684210526315789,0.7652507536311317,0.8602072448624173,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,4,4,12,44,0.7953939155003612,0.7263157894736842,0.7199636492460298,0.8965961849734668,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,4,5,12,1,0.292149866190901,0.3157894736842105,0.2594104308390022,0.5498231811010715,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,4,6,12,57,0.6098081023454157,0.5894736842105263,0.6135177607780348,0.8217258794845002,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,4,7,12,60,0.6940052700922266,0.6210526315789474,0.6214711214711216,0.792898047411232,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,4,8,12,20,0.6859903381642511,0.7052631578947368,0.6866907825811935,0.8836374905239003,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,4,9,12,49,0.6259428121130249,0.5684210526315789,0.5370696209405886,0.7900625934804434,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,4,10,12,6,0.54421768707483,0.5578947368421052,0.5041500274058414,0.7544017251623742,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,8,1,24,46,0.6796009631922945,0.6421052631578947,0.6388551616210675,0.8266578564550167,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,8,2,24,51,0.6607632300231921,0.7263157894736842,0.710377525670475,0.8713957014362693,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,8,3,24,20,0.6938271604938272,0.6736842105263158,0.6691573926868045,0.8783721597311861,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,8,4,24,32,0.7467096312209094,0.7157894736842105,0.6704159824849482,0.8848222078800173,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,8,5,24,32,0.8147519147519148,0.6736842105263158,0.6657967032967033,0.8479501403487205,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,8,6,24,32,0.7094894097990073,0.6105263157894737,0.6112342941611234,0.8126706722396378,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,8,7,24,35,0.7321074522312911,0.6736842105263158,0.6841198303287381,0.8490394308193497,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,8,8,24,7,0.6538557541879801,0.6421052631578947,0.5896364867916009,0.8143827729628947,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,8,9,24,30,0.663984088127295,0.7368421052631579,0.7348141860026409,0.8540213493966028,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,8,10,24,38,0.744389055057051,0.6736842105263158,0.680942729035598,0.8374451410658308,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,16,1,48,9,0.7292031639857727,0.631578947368421,0.6240805265195509,0.8502586206896551,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,16,2,48,26,0.7549942626463716,0.6631578947368421,0.6704589528118939,0.8196979429180241,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,16,3,48,18,0.7314549202099402,0.7052631578947368,0.7091486826426586,0.8760643452783411,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,16,4,48,27,0.8050264550264551,0.7368421052631579,0.7404875463698994,0.8909581617390948,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,16,5,48,20,0.7880632411067193,0.7263157894736842,0.7344243332163952,0.8673167271088165,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,16,6,48,18,0.7442286862676011,0.7473684210526316,0.7407407407407408,0.8747148462310733,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,16,7,48,36,0.7576312576312576,0.8315789473684211,0.8245614035087719,0.9281903210605037,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,16,8,48,23,0.7681569515185814,0.7684210526315789,0.757249918540241,0.8809395168725797,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,16,9,48,35,0.7775136766647802,0.7368421052631579,0.7390265968215406,0.8930778371954843,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,16,10,48,23,0.7731444355341708,0.7473684210526316,0.7520727638374697,0.9050852336754973,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,32,1,96,63,0.7821050259184134,0.8105263157894737,0.8284034373586612,0.8974907287889032,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,32,2,96,14,0.7855493451639578,0.7578947368421053,0.7561589718098913,0.880979675046612,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,32,3,96,46,0.7574252747718245,0.6947368421052632,0.6989570221183241,0.8949286475300674,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,32,4,96,44,0.8587636402001567,0.7368421052631579,0.736056214317084,0.931335617841703,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,32,5,96,41,0.8038261192077543,0.7894736842105263,0.7928592215811318,0.9072447599729547,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,32,6,96,24,0.8051760607191737,0.7157894736842105,0.7204560697518444,0.8807720204069088,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,32,7,96,27,0.7830134812105024,0.7578947368421053,0.7563023132178578,0.9075324236277583,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,32,8,96,15,0.7822053552603837,0.7473684210526316,0.7460644043905477,0.8927146720757267,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,32,9,96,37,0.7692090543154372,0.7052631578947368,0.7142872019160679,0.8916389042555372,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,32,10,96,14,0.7727443362051166,0.7263157894736842,0.7377420250330223,0.883064058434241,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
